name,path,task,exp_id,seed,arm,wiring,retrieval,model,started,log_last,log_span_h,node_span_h,n_ratelimit,first_ratelimit_h,usable_h,usable_fraction,direction_defaulted,direction_validated,n_nodes,n_buggy,n_valid,buggy_fraction,best_metric,maximize_used,n_top_solutions,n_ensembles,wrapper_completed,nan_in_ensembles,n_real_crashes,verdict,reasons,flags
20260804_063628_spooky-base,results/8.17/runs/20260804_063628_spooky-base,spooky,spooky-author-identification,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-04 06:36:28,2026-08-04 13:33:17,6.95,4.9,0,-1.0,6.95,0.579,False,False,33,18,15,0.545,0.3401899790107183,False,15,0,False,False,0,invalid,insufficient_runtime;terminated_early,
20260804_181406_spooky-base,results/8.17/runs/20260804_181406_spooky-base,spooky,spooky-author-identification,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-04 18:14:06,2026-08-05 06:04:49,11.85,10.67,0,-1.0,12.0,1.0,False,False,32,14,18,0.438,0.27037866777263175,False,14,5,True,False,0,ok,,
20260807_054111_jigsaw-base,results/8.17/runs/20260807_054111_jigsaw-base,jigsaw,jigsaw-toxic-comment-classification-challenge,42,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-07 05:41:11,2026-08-07 17:21:28,11.67,9.76,0,-1.0,12.0,1.0,False,True,15,10,5,0.667,0.9897761870297518,True,5,4,True,False,0,ok,,
20260807_054255_jigsaw-kb,results/8.17/runs/20260807_054255_jigsaw-kb,jigsaw,jigsaw-toxic-comment-classification-challenge,42,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-07 05:42:55,2026-08-07 15:12:07,9.49,4.75,0,-1.0,12.0,1.0,False,True,14,9,5,0.643,0.9895478739064432,True,5,4,True,False,0,superseded,legacy_injection_wiring,
20260808_003820_jigsaw-base-s43,results/8.17/runs/20260808_003820_jigsaw-base-s43,jigsaw,jigsaw-toxic-comment-classification-challenge,43,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-08 00:38:20,2026-08-08 11:59:20,11.35,10.16,0,-1.0,12.0,1.0,False,True,16,7,9,0.438,0.9918027049853378,True,7,5,True,False,0,ok,,
20260808_003820_jigsaw-kb-s43,results/8.17/runs/20260808_003820_jigsaw-kb-s43,jigsaw,jigsaw-toxic-comment-classification-challenge,43,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-08 00:38:20,2026-08-08 12:18:26,11.67,11.36,0,-1.0,12.0,1.0,False,True,17,11,6,0.647,0.992785283077445,True,6,5,True,False,0,superseded,legacy_injection_wiring,
20260809_224437_jigsaw-base-s44,results/8.17/runs/20260809_224437_jigsaw-base-s44,jigsaw,jigsaw-toxic-comment-classification-challenge,44,A,legacy,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-09 22:44:37,2026-08-10 08:59:26,10.25,5.9,0,-1.0,12.0,1.0,False,True,20,10,10,0.5,0.9920682698213126,True,9,5,True,False,0,ok,,
20260809_224437_jigsaw-kb-s44,results/8.17/runs/20260809_224437_jigsaw-kb-s44,jigsaw,jigsaw-toxic-comment-classification-challenge,44,B,legacy,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-09 22:44:37,2026-08-10 10:04:10,11.33,10.72,0,-1.0,12.0,1.0,False,True,29,20,9,0.69,0.986574,True,7,5,True,False,0,superseded,legacy_injection_wiring,
20260812_223018_jigsaw-kbimp-s42,results/8.17/runs/20260812_223018_jigsaw-kbimp-s42,jigsaw,jigsaw-toxic-comment-classification-challenge,42,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-12 22:30:18,2026-08-13 09:31:29,11.02,10.79,0,-1.0,12.0,1.0,False,True,34,23,11,0.676,0.9930898771826776,True,8,3,True,False,0,ok,,
20260812_223028_jigsaw-kbfix-s42,results/8.17/runs/20260812_223028_jigsaw-kbfix-s42,jigsaw,jigsaw-toxic-comment-classification-challenge,42,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-12 22:30:29,2026-08-13 09:13:35,10.72,10.25,0,-1.0,12.0,1.0,False,True,19,15,4,0.789,0.9848153321192045,True,4,4,True,False,0,ok,,
20260813_215854_jigsaw-kbimp-s43,results/8.17/runs/20260813_215854_jigsaw-kbimp-s43,jigsaw,jigsaw-toxic-comment-classification-challenge,43,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-13 21:58:54,2026-08-14 08:47:08,10.8,8.11,0,-1.0,12.0,1.0,False,True,24,11,13,0.458,0.9866552622965342,True,13,5,True,False,0,ok,,
20260813_215855_jigsaw-kbfix-s43,results/8.17/runs/20260813_215855_jigsaw-kbfix-s43,jigsaw,jigsaw-toxic-comment-classification-challenge,43,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-13 21:58:55,2026-08-14 09:57:43,11.98,11.13,0,-1.0,12.0,1.0,False,True,22,15,7,0.682,0.9844873949919714,True,7,5,True,False,0,ok,,
20260814_201238_jigsaw-kbimp-s44,results/8.17/runs/20260814_201238_jigsaw-kbimp-s44,jigsaw,jigsaw-toxic-comment-classification-challenge,44,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-14 20:12:38,2026-08-15 05:37:15,9.41,3.4,0,-1.0,12.0,1.0,False,True,24,19,5,0.792,0.9895145555928023,True,5,3,True,False,0,ok,,
20260814_201239_jigsaw-kbfix-s44,results/8.17/runs/20260814_201239_jigsaw-kbfix-s44,jigsaw,jigsaw-toxic-comment-classification-challenge,44,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-14 20:12:39,2026-08-15 05:45:14,9.54,7.62,0,-1.0,12.0,1.0,False,True,19,10,9,0.526,0.9796857744990489,True,9,5,True,False,0,ok,,
20260814_223034_essay-base,results/8.17/runs/20260814_223034_essay-base,essay,learning-agency-lab-automated-essay-scoring-2,42,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-14 22:30:34,2026-08-15 08:48:31,10.3,0.97,0,-1.0,12.0,1.0,False,True,14,13,1,0.929,0.7879182261707209,True,1,1,True,False,0,ok,,few_valid_candidates;mostly_buggy
20260814_223034_essay-kbimp,results/8.17/runs/20260814_223034_essay-kbimp,essay,learning-agency-lab-automated-essay-scoring-2,42,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-14 22:30:34,2026-08-15 10:28:22,11.96,11.28,0,-1.0,12.0,1.0,False,True,34,22,12,0.647,0.8181317035361388,True,6,5,True,False,0,ok,,manual:cache-warm race between concurrent KB arms
20260814_223832_essay-kb,results/8.17/runs/20260814_223832_essay-kb,essay,learning-agency-lab-automated-essay-scoring-2,42,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-14 22:38:32,2026-08-15 09:57:00,11.31,10.32,0,-1.0,12.0,1.0,False,True,15,8,7,0.533,0.8338180413702786,True,7,2,True,False,0,ok,,manual:cache-warm race between concurrent KB arms
20260815_110637_lmsys-kbimp,results/8.17/runs/20260815_110637_lmsys-kbimp,,,,,,,,2026-08-15 11:06:37,2026-08-15 11:13:41,0.12,0.0,0,-1.0,0.12,0.01,False,,0,0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260815_110700_lmsys-base,results/8.17/runs/20260815_110700_lmsys-base,,,,,,,,2026-08-15 11:07:00,2026-08-15 11:07:05,0.0,0.0,0,-1.0,0.0,0.0,False,,0,0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260815_110702_lmsys-kb,results/8.17/runs/20260815_110702_lmsys-kb,,,,,,,,2026-08-15 11:07:02,2026-08-15 11:11:19,0.07,0.0,0,-1.0,0.07,0.006,False,,0,0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260816_043435_lmsys-kb,results/8.17/runs/20260816_043435_lmsys-kb,lmsys,lmsys-chatbot-arena,42,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 04:34:35,2026-08-16 15:17:12,10.71,9.99,0,-1.0,12.0,1.0,False,False,33,32,1,0.97,1.0864334786457808,False,1,1,True,False,0,ok,,few_valid_candidates;mostly_buggy
20260816_043500_lmsys-kbimp,results/8.17/runs/20260816_043500_lmsys-kbimp,lmsys,lmsys-chatbot-arena,42,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 04:35:00,2026-08-16 07:40:34,3.09,2.39,0,-1.0,3.09,0.258,False,False,22,21,1,0.955,1.024576955699034,False,1,0,False,False,0,invalid,insufficient_runtime;terminated_early;log_truncated,few_valid_candidates;mostly_buggy
20260816_043620_lmsys-base,results/8.17/runs/20260816_043620_lmsys-base,lmsys,lmsys-chatbot-arena,42,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 04:36:20,2026-08-16 14:35:35,9.99,4.85,0,-1.0,12.0,1.0,False,False,12,9,3,0.75,1.0366170293491603,False,3,3,True,False,0,ok,,
20260816_062536_essay-kb-s43,results/8.17/runs/20260816_062536_essay-kb-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 06:25:37,2026-08-16 18:25:33,12.0,8.98,4611,9.18,9.18,0.765,False,True,52,40,12,0.769,0.8204473071884809,True,11,5,True,False,0,invalid,ratelimit_truncated,
20260816_063351_essay-base-s43,results/8.17/runs/20260816_063351_essay-base-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 06:33:51,2026-08-16 18:33:38,12.0,8.78,4341,9.67,9.67,0.806,False,True,15,12,3,0.8,0.8374084085056214,True,3,3,True,False,0,invalid,ratelimit_truncated,
20260816_063352_essay-kbimp-s43,results/8.17/runs/20260816_063352_essay-kbimp-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 06:33:52,2026-08-16 18:33:38,12.0,5.23,2991,10.21,10.21,0.851,False,True,15,11,4,0.733,0.8031487348690871,True,4,4,True,False,0,invalid,ratelimit_truncated,
20260816_102136_lmsys-kbimp,results/8.17/runs/20260816_102136_lmsys-kbimp,lmsys,lmsys-chatbot-arena,42,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-16 10:21:36,2026-08-16 19:46:17,9.41,1.22,3286,5.84,5.84,0.487,False,False,17,16,1,0.941,1.0420779650697445,False,1,0,False,False,0,invalid,ratelimit_truncated;api_starved;terminated_early,few_valid_candidates;mostly_buggy
20260817_012246_lmsys-kb,results/8.17/runs/20260817_012246_lmsys-kb,,,,,,,,2026-08-17 01:22:46,2026-08-17 01:22:46,0.0,0.0,0,-1.0,0.0,0.0,False,,0,0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260817_020727_lmsys-base,results/8.17/runs/20260817_020727_lmsys-base,,,,,,,,2026-08-17 02:07:27,2026-08-17 02:11:54,0.07,0.0,33,0.0,0.0,0.0,True,,0,0,0,0.0,,,0,0,False,False,0,invalid,no_journal;api_starved;log_truncated;metric_direction_defaulted;no_submission,few_valid_candidates;ratelimit_minor
20260817_020727_lmsys-kb,results/8.17/runs/20260817_020727_lmsys-kb,,,,,,,,2026-08-17 02:07:27,2026-08-17 02:11:53,0.07,0.0,0,-1.0,0.07,0.006,False,,0,0,0,0.0,,,0,0,False,False,0,invalid,no_journal;insufficient_runtime;log_truncated;no_submission,few_valid_candidates
20260817_022101_lmsys-kb,results/8.17/runs/20260817_022101_lmsys-kb,lmsys,lmsys-chatbot-arena,42,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 02:21:01,2026-08-17 14:06:02,11.75,8.31,0,-1.0,12.0,1.0,False,False,27,21,6,0.778,1.0203293416681023,False,6,4,True,False,0,ok,,
20260817_022101_lmsys-kbimp,results/8.17/runs/20260817_022101_lmsys-kbimp,lmsys,lmsys-chatbot-arena,42,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 02:21:01,2026-08-17 14:16:48,11.93,11.41,0,-1.0,12.0,1.0,False,False,46,44,2,0.957,1.0392852647901578,False,2,2,True,False,0,ok,,mostly_buggy
20260817_022311_lmsys-base,results/8.17/runs/20260817_022311_lmsys-base,lmsys,lmsys-chatbot-arena,42,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 02:23:11,2026-08-17 12:30:28,10.12,9.79,0,-1.0,12.0,1.0,False,False,22,20,2,0.909,1.0328128470889815,False,2,2,True,False,0,ok,,mostly_buggy
20260817_193119_essay-base-s43,results/8.17/runs/20260817_193119_essay-base-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 19:31:19,2026-08-18 06:51:09,11.33,11.03,0,-1.0,12.0,1.0,False,True,22,16,6,0.727,0.8205208236762686,True,0,2,True,False,0,ok,,
20260817_193958_essay-kb-s43,results/8.17/runs/20260817_193958_essay-kb-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 19:39:58,2026-08-18 04:14:38,8.58,8.13,0,-1.0,12.0,1.0,False,True,13,6,7,0.462,0.830873,True,0,2,True,False,0,ok,,
20260817_193958_essay-kbimp-s43,results/8.17/runs/20260817_193958_essay-kbimp-s43,essay,learning-agency-lab-automated-essay-scoring-2,43,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-17 19:39:58,2026-08-18 05:05:12,9.42,6.04,0,-1.0,12.0,1.0,False,True,19,8,11,0.421,0.8268316451204505,True,0,2,True,False,0,ok,,
