run,competition,variant,k,cum_hours,score,medal,lower_better,file,note
20260804_063628_spooky-base,spooky-author-identification,uncapped,11,5.45,0.33573,above-med,1,top11ens-total_run_time5.45h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,12,6.58,0.3373,above-med,1,top12ens-total_run_time6.58h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,1,0.03,0.33681,above-med,1,top1ens-total_run_time0.03h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,2,0.05,0.33707,above-med,1,top2ens-total_run_time0.05h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,3,1.67,0.32776,above-med,1,top3ens-total_run_time1.67h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,4,3.63,0.32504,above-med,1,top4ens-total_run_time3.63h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,5,4.58,0.32486,above-med,1,top5ens-total_run_time4.58h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,6,4.63,0.32576,above-med,1,top6ens-total_run_time4.63h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,7,4.84,0.32854,above-med,1,top7ens-total_run_time4.84h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,8,4.93,0.32981,above-med,1,top8ens-total_run_time4.93h.csv,
20260804_063628_spooky-base,spooky-author-identification,uncapped,9,4.97,0.33165,above-med,1,top9ens-total_run_time4.97h.csv,
20260804_181406_spooky-base,spooky-author-identification,capped,1,1.94,0.23663,silver,1,top1ens-total_run_time1.94h.csv,
20260804_181406_spooky-base,spooky-author-identification,capped,2,2.44,0.24468,silver,1,top2ens-total_run_time2.44h.csv,
20260804_181406_spooky-base,spooky-author-identification,capped,3,3.55,0.24788,silver,1,top3ens-total_run_time3.55h.csv,
20260804_181406_spooky-base,spooky-author-identification,capped,4,4.14,0.24341,silver,1,top4ens-total_run_time4.14h.csv,
20260804_181406_spooky-base,spooky-author-identification,capped,6,6.24,0.24683,silver,1,top6ens-total_run_time6.24h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,10,10.74,0.25449,silver,1,top10ens-total_run_time10.74h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,11,19.15,0.25694,silver,1,top11ens-total_run_time19.15h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,12,19.17,0.25983,silver,1,top12ens-total_run_time19.17h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,1,1.94,0.23663,silver,1,top1ens-total_run_time1.94h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,2,2.44,0.24468,silver,1,top2ens-total_run_time2.44h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,3,3.55,0.24788,silver,1,top3ens-total_run_time3.55h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,4,4.14,0.24341,silver,1,top4ens-total_run_time4.14h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,5,5.88,0.24451,silver,1,top5ens-total_run_time5.88h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,6,6.24,0.24683,silver,1,top6ens-total_run_time6.24h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,7,6.26,0.24882,silver,1,top7ens-total_run_time6.26h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,8,8.18,0.25104,silver,1,top8ens-total_run_time8.18h.csv,
20260804_181406_spooky-base,spooky-author-identification,uncapped,9,10.72,0.25233,silver,1,top9ens-total_run_time10.72h.csv,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,capped,1,3.05,0.97997,-,0,top1ens-total_run_time3.05h.csv,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,capped,2,6.49,0.98026,-,0,top2ens-total_run_time6.49h.csv,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,capped,3,10.04,0.98037,-,0,top3ens-total_run_time10.04h.csv,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,capped,4,10.4,0.9822,above-med,0,top4ens-total_run_time10.4h.csv,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,uncapped,1,3.05,0.97997,-,0,top1ens-total_run_time3.05h.csv,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,uncapped,2,6.49,0.98026,-,0,top2ens-total_run_time6.49h.csv,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,uncapped,3,10.04,0.98037,-,0,top3ens-total_run_time10.04h.csv,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,uncapped,4,10.4,0.9822,above-med,0,top4ens-total_run_time10.4h.csv,
20260807_054111_jigsaw-base,jigsaw-toxic-comment-classification-challenge,uncapped,5,12.14,0.98237,above-med,0,top5ens-total_run_time12.14h.csv,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,capped,1,7.04,0.98503,above-med,0,top1ens-total_run_time7.04h.csv,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,capped,2,9.71,0.98508,above-med,0,top2ens-total_run_time9.71h.csv,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,capped,3,13.73,0.98458,above-med,0,top3ens-total_run_time13.73h.csv,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,capped,4,14.38,0.98417,above-med,0,top4ens-total_run_time14.38h.csv,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,uncapped,1,7.04,0.98503,above-med,0,top1ens-total_run_time7.04h.csv,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,uncapped,2,9.71,0.98508,above-med,0,top2ens-total_run_time9.71h.csv,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,uncapped,3,13.73,0.98458,above-med,0,top3ens-total_run_time13.73h.csv,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,uncapped,4,14.38,0.98417,above-med,0,top4ens-total_run_time14.38h.csv,
20260807_054255_jigsaw-kb,jigsaw-toxic-comment-classification-challenge,uncapped,5,14.79,0.98405,above-med,0,top5ens-total_run_time14.79h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,capped,1,6.13,0.98658,bronze,0,top1ens-total_run_time6.13h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,capped,2,7.17,0.98699,silver,0,top2ens-total_run_time7.17h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,capped,3,7.48,0.98678,silver,0,top3ens-total_run_time7.48h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,capped,4,7.65,0.98647,bronze,0,top4ens-total_run_time7.65h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,capped,6,8.0,0.98561,above-med,0,top6ens-total_run_time8.0h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,1,6.13,0.98658,bronze,0,top1ens-total_run_time6.13h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,2,7.17,0.98699,silver,0,top2ens-total_run_time7.17h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,3,7.48,0.98678,silver,0,top3ens-total_run_time7.48h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,4,7.65,0.98647,bronze,0,top4ens-total_run_time7.65h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,5,7.82,0.98607,above-med,0,top5ens-total_run_time7.82h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,6,8.0,0.98561,above-med,0,top6ens-total_run_time8.0h.csv,
20260808_003820_jigsaw-base-s43,jigsaw-toxic-comment-classification-challenge,uncapped,7,14.43,0.98526,above-med,0,top7ens-total_run_time14.43h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,capped,1,6.71,0.98679,silver,0,top1ens-total_run_time6.71h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,capped,2,7.04,0.98734,silver,0,top2ens-total_run_time7.04h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,capped,3,7.65,0.98717,silver,0,top3ens-total_run_time7.65h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,capped,4,7.98,0.98672,silver,0,top4ens-total_run_time7.98h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,capped,6,8.35,0.98559,above-med,0,top6ens-total_run_time8.35h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,1,6.71,0.98679,silver,0,top1ens-total_run_time6.71h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,2,7.04,0.98734,silver,0,top2ens-total_run_time7.04h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,3,7.65,0.98717,silver,0,top3ens-total_run_time7.65h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,4,7.98,0.98672,silver,0,top4ens-total_run_time7.98h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,5,8.23,0.98621,above-med,0,top5ens-total_run_time8.23h.csv,
20260808_003820_jigsaw-kb-s43,jigsaw-toxic-comment-classification-challenge,uncapped,6,8.35,0.98559,above-med,0,top6ens-total_run_time8.35h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,capped,1,4.96,0.987,silver,0,top1ens-total_run_time4.96h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,capped,2,9.9,0.98727,silver,0,top2ens-total_run_time9.9h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,capped,3,10.48,0.98748,gold,0,top3ens-total_run_time10.48h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,capped,4,10.99,0.98683,silver,0,top4ens-total_run_time10.99h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,capped,6,11.73,0.98569,above-med,0,top6ens-total_run_time11.73h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,1,4.96,0.987,silver,0,top1ens-total_run_time4.96h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,2,9.9,0.98727,silver,0,top2ens-total_run_time9.9h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,3,10.48,0.98748,gold,0,top3ens-total_run_time10.48h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,4,10.99,0.98683,silver,0,top4ens-total_run_time10.99h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,5,11.57,0.98603,above-med,0,top5ens-total_run_time11.57h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,6,11.73,0.98569,above-med,0,top6ens-total_run_time11.73h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,7,11.79,0.98545,above-med,0,top7ens-total_run_time11.79h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,8,12.37,0.98518,above-med,0,top8ens-total_run_time12.37h.csv,
20260809_224437_jigsaw-base-s44,jigsaw-toxic-comment-classification-challenge,uncapped,9,12.95,0.98491,above-med,0,top9ens-total_run_time12.95h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,capped,1,0.41,0.98021,-,0,top1ens-total_run_time0.41h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,capped,2,1.21,0.98019,-,0,top2ens-total_run_time1.21h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,capped,3,2.0,0.97915,-,0,top3ens-total_run_time2.0h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,capped,4,3.25,0.97895,-,0,top4ens-total_run_time3.25h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,capped,6,4.22,0.97659,-,0,top6ens-total_run_time4.22h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,uncapped,1,0.41,0.98021,-,0,top1ens-total_run_time0.41h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,uncapped,2,1.21,0.98019,-,0,top2ens-total_run_time1.21h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,uncapped,3,2.0,0.97915,-,0,top3ens-total_run_time2.0h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,uncapped,4,3.25,0.97895,-,0,top4ens-total_run_time3.25h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,uncapped,5,4.03,0.9778,-,0,top5ens-total_run_time4.03h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,uncapped,6,4.22,0.97659,-,0,top6ens-total_run_time4.22h.csv,
20260809_224437_jigsaw-kb-s44,jigsaw-toxic-comment-classification-challenge,uncapped,7,8.95,0.97554,-,0,top7ens-total_run_time8.95h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,capped,1,3.47,0.98618,above-med,0,top1ens-total_run_time3.47h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,capped,2,7.34,0.9865,bronze,0,top2ens-total_run_time7.34h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,capped,3,7.83,0.98727,silver,0,top3ens-total_run_time7.83h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,uncapped,1,3.47,0.98618,above-med,0,top1ens-total_run_time3.47h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,uncapped,2,7.34,0.9865,bronze,0,top2ens-total_run_time7.34h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,uncapped,3,7.83,0.98727,silver,0,top3ens-total_run_time7.83h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,uncapped,4,9.1,0.98734,silver,0,top4ens-total_run_time9.1h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,uncapped,5,9.76,0.9873,silver,0,top5ens-total_run_time9.76h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,uncapped,6,9.95,0.98717,silver,0,top6ens-total_run_time9.95h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,uncapped,7,10.15,0.98694,silver,0,top7ens-total_run_time10.15h.csv,
20260812_223018_jigsaw-kbimp-s42,jigsaw-toxic-comment-classification-challenge,uncapped,8,10.36,0.98663,bronze,0,top8ens-total_run_time10.36h.csv,
20260812_223028_jigsaw-kbfix-s42,jigsaw-toxic-comment-classification-challenge,capped,1,0.33,0.98005,-,0,top1ens-total_run_time0.33h.csv,
20260812_223028_jigsaw-kbfix-s42,jigsaw-toxic-comment-classification-challenge,capped,2,2.05,0.98126,above-med,0,top2ens-total_run_time2.05h.csv,
20260812_223028_jigsaw-kbfix-s42,jigsaw-toxic-comment-classification-challenge,capped,3,2.51,0.98139,above-med,0,top3ens-total_run_time2.51h.csv,
20260812_223028_jigsaw-kbfix-s42,jigsaw-toxic-comment-classification-challenge,capped,4,2.72,0.98112,above-med,0,top4ens-total_run_time2.72h.csv,
20260812_223028_jigsaw-kbfix-s42,jigsaw-toxic-comment-classification-challenge,uncapped,1,0.33,0.98005,-,0,top1ens-total_run_time0.33h.csv,
20260812_223028_jigsaw-kbfix-s42,jigsaw-toxic-comment-classification-challenge,uncapped,2,2.05,0.98126,above-med,0,top2ens-total_run_time2.05h.csv,
20260812_223028_jigsaw-kbfix-s42,jigsaw-toxic-comment-classification-challenge,uncapped,3,2.51,0.98139,above-med,0,top3ens-total_run_time2.51h.csv,
20260812_223028_jigsaw-kbfix-s42,jigsaw-toxic-comment-classification-challenge,uncapped,4,2.72,0.98112,above-med,0,top4ens-total_run_time2.72h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,capped,1,2.11,0.97806,-,0,top1ens-total_run_time2.11h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,capped,2,4.71,0.9802,-,0,top2ens-total_run_time4.71h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,capped,3,6.0,0.98136,above-med,0,top3ens-total_run_time6.0h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,capped,4,7.27,0.98147,above-med,0,top4ens-total_run_time7.27h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,capped,6,8.94,0.98148,above-med,0,top6ens-total_run_time8.94h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,10,11.13,0.97911,-,0,top10ens-total_run_time11.13h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,11,11.66,0.97845,-,0,top11ens-total_run_time11.66h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,12,14.32,0.97807,-,0,top12ens-total_run_time14.32h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,1,2.11,0.97806,-,0,top1ens-total_run_time2.11h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,2,4.71,0.9802,-,0,top2ens-total_run_time4.71h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,3,6.0,0.98136,above-med,0,top3ens-total_run_time6.0h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,4,7.27,0.98147,above-med,0,top4ens-total_run_time7.27h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,5,8.52,0.98149,above-med,0,top5ens-total_run_time8.52h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,6,8.94,0.98148,above-med,0,top6ens-total_run_time8.94h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,7,9.79,0.98151,above-med,0,top7ens-total_run_time9.79h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,8,10.59,0.98156,above-med,0,top8ens-total_run_time10.59h.csv,
20260813_215854_jigsaw-kbimp-s43,jigsaw-toxic-comment-classification-challenge,uncapped,9,10.86,0.98012,-,0,top9ens-total_run_time10.86h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,capped,1,0.39,0.97229,-,0,top1ens-total_run_time0.39h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,capped,2,0.8,0.97229,-,0,top2ens-total_run_time0.8h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,capped,3,0.98,,-,0,top3ens-total_run_time0.98h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,capped,4,1.21,,-,0,top4ens-total_run_time1.21h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,capped,6,1.77,,-,0,top6ens-total_run_time1.77h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,uncapped,1,0.39,0.97229,-,0,top1ens-total_run_time0.39h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,uncapped,2,0.8,0.97229,-,0,top2ens-total_run_time0.8h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,uncapped,3,0.98,,-,0,top3ens-total_run_time0.98h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,uncapped,4,1.21,,-,0,top4ens-total_run_time1.21h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,uncapped,5,1.57,,-,0,top5ens-total_run_time1.57h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,uncapped,6,1.77,,-,0,top6ens-total_run_time1.77h.csv,
20260813_215855_jigsaw-kbfix-s43,jigsaw-toxic-comment-classification-challenge,uncapped,7,2.18,,-,0,top7ens-total_run_time2.18h.csv,
20260814_201238_jigsaw-kbimp-s44,jigsaw-toxic-comment-classification-challenge,capped,1,7.56,0.98344,above-med,0,top1ens-total_run_time7.56h.csv,
20260814_201238_jigsaw-kbimp-s44,jigsaw-toxic-comment-classification-challenge,capped,2,7.99,0.98343,above-med,0,top2ens-total_run_time7.99h.csv,
20260814_201238_jigsaw-kbimp-s44,jigsaw-toxic-comment-classification-challenge,capped,3,8.35,0.98278,above-med,0,top3ens-total_run_time8.35h.csv,
20260814_201238_jigsaw-kbimp-s44,jigsaw-toxic-comment-classification-challenge,uncapped,1,7.56,0.98344,above-med,0,top1ens-total_run_time7.56h.csv,
20260814_201238_jigsaw-kbimp-s44,jigsaw-toxic-comment-classification-challenge,uncapped,2,7.99,0.98343,above-med,0,top2ens-total_run_time7.99h.csv,
20260814_201238_jigsaw-kbimp-s44,jigsaw-toxic-comment-classification-challenge,uncapped,3,8.35,0.98278,above-med,0,top3ens-total_run_time8.35h.csv,
20260814_201238_jigsaw-kbimp-s44,jigsaw-toxic-comment-classification-challenge,uncapped,4,9.2,0.98256,above-med,0,top4ens-total_run_time9.2h.csv,
20260814_201238_jigsaw-kbimp-s44,jigsaw-toxic-comment-classification-challenge,uncapped,5,10.28,0.98246,above-med,0,top5ens-total_run_time10.28h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,capped,1,0.3,0.96869,-,0,top1ens-total_run_time0.3h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,capped,2,0.85,0.96828,-,0,top2ens-total_run_time0.85h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,capped,3,1.8,0.97042,-,0,top3ens-total_run_time1.8h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,capped,4,2.36,0.97104,-,0,top4ens-total_run_time2.36h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,capped,6,7.2,0.97376,-,0,top6ens-total_run_time7.2h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,uncapped,1,0.3,0.96869,-,0,top1ens-total_run_time0.3h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,uncapped,2,0.85,0.96828,-,0,top2ens-total_run_time0.85h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,uncapped,3,1.8,0.97042,-,0,top3ens-total_run_time1.8h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,uncapped,4,2.36,0.97104,-,0,top4ens-total_run_time2.36h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,uncapped,5,3.8,0.9735,-,0,top5ens-total_run_time3.8h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,uncapped,6,7.2,0.97376,-,0,top6ens-total_run_time7.2h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,uncapped,7,8.58,0.97352,-,0,top7ens-total_run_time8.58h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,uncapped,8,13.1,0.97323,-,0,top8ens-total_run_time13.1h.csv,
20260814_201239_jigsaw-kbfix-s44,jigsaw-toxic-comment-classification-challenge,uncapped,9,13.29,0.97304,-,0,top9ens-total_run_time13.29h.csv,
20260814_223034_essay-base,learning-agency-lab-automated-essay-scoring-2,capped,1,0.12,0.78021,-,0,top1ens-total_run_time0.12h.csv,
