name,path,task,exp_id,seed,arm,wiring,retrieval,model,started,log_last,log_span_h,node_span_h,n_ratelimit,first_ratelimit_h,usable_h,usable_fraction,direction_defaulted,direction_validated,n_nodes,n_buggy,n_valid,buggy_fraction,n_coded,custom_arch_fraction,best_metric,maximize_used,n_top_solutions,n_ensembles,wrapper_completed,nan_in_ensembles,n_real_crashes,verdict,reasons,flags
20260818_233128_lmsys-kbimp-s43,/Users/william/nautilus/results/20260818_233128_lmsys-kbimp-s43,lmsys,lmsys-chatbot-arena,43,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-18 23:31:28,2026-08-19 10:28:45,10.95,10.47,0,-1.0,12.0,1.0,False,False,21,17,4,0.81,21,1.0,1.014487409000181,False,0,4,True,False,0,ok,,
20260823_083346_jigsaw-base-s45,/Users/william/nautilus/results/20260823_083346_jigsaw-base-s45,jigsaw,jigsaw-toxic-comment-classification-challenge,45,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-23 08:33:46,2026-08-23 18:06:50,9.55,2.25,0,-1.0,12.0,1.0,False,True,11,7,4,0.636,11,1.0,0.9817336308552299,True,0,4,True,False,0,ok,,
20260823_083446_jigsaw-kb-s45,/Users/william/nautilus/results/20260823_083446_jigsaw-kb-s45,jigsaw,jigsaw-toxic-comment-classification-challenge,45,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-23 08:34:46,2026-08-23 20:04:34,11.5,10.55,0,-1.0,12.0,1.0,False,True,17,13,4,0.765,17,0.941,0.9909261878457892,True,0,4,True,False,0,ok,,
20260823_083918_lmsys-base-s44,/Users/william/nautilus/results/20260823_083918_lmsys-base-s44,lmsys,lmsys-chatbot-arena,44,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-23 08:39:18,2026-08-23 19:58:37,11.32,1.85,0,-1.0,11.32,0.943,False,,21,21,0,1.0,21,1.0,,,0,0,False,False,0,invalid,no_submission,few_valid_candidates;mostly_buggy
20260823_084319_jigsaw-kbimp-s45,/Users/william/nautilus/results/20260823_084319_jigsaw-kbimp-s45,jigsaw,jigsaw-toxic-comment-classification-challenge,45,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-23 08:43:19,2026-08-23 20:09:58,11.44,9.39,0,-1.0,12.0,1.0,False,True,18,9,9,0.5,18,1.0,0.991418448899413,True,0,1,True,False,0,ok,,
20260823_085536_lmsys-kbimp-s44,/Users/william/nautilus/results/20260823_085536_lmsys-kbimp-s44,lmsys,lmsys-chatbot-arena,44,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-23 08:55:36,2026-08-23 20:37:15,11.69,10.95,0,-1.0,12.0,1.0,False,False,28,23,5,0.821,28,0.714,1.04219142548387,False,0,4,True,False,0,ok,,
20260823_085723_lmsys-kb-s44,/Users/william/nautilus/results/20260823_085723_lmsys-kb-s44,lmsys,lmsys-chatbot-arena,44,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-23 08:57:23,2026-08-23 19:51:49,10.91,9.75,0,-1.0,10.91,0.909,False,,21,21,0,1.0,21,1.0,,,0,0,False,False,0,invalid,no_submission,few_valid_candidates;mostly_buggy
20260825_015947_essay-kb-s45,/Users/william/nautilus/results/20260825_015947_essay-kb-s45,essay,learning-agency-lab-automated-essay-scoring-2,45,B,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-25 01:59:47,2026-08-25 13:58:55,11.99,11.61,0,-1.0,12.0,1.0,False,True,45,32,13,0.711,45,1.0,0.8295494991015605,True,0,4,True,False,0,ok,,
20260825_021726_essay-base-s46,/Users/william/nautilus/results/20260825_021726_essay-base-s46,essay,learning-agency-lab-automated-essay-scoring-2,46,A,fixed,vector,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-25 02:17:26,2026-08-25 12:00:24,9.72,0.72,0,-1.0,12.0,1.0,False,True,11,8,3,0.727,11,1.0,0.8332071954578235,True,0,3,True,False,0,ok,,
20260825_022719_essay-kbimp-s45,/Users/william/nautilus/results/20260825_022719_essay-kbimp-s45,essay,learning-agency-lab-automated-essay-scoring-2,45,C,fixed,lazy,"${oc.env:LLM_MODEL,gpt-5.6-terra}",2026-08-25 02:27:19,2026-08-25 12:31:45,10.07,9.77,0,-1.0,12.0,1.0,False,True,25,20,5,0.8,25,1.0,0.8072921310116655,True,0,4,True,False,0,ok,,
